time,pm10,pm2.5
2018-04-25:14,31,15
2018-04-25:13,29,3
2018-04-25:12,25,14
2018-04-25:11,26,13
2018-04-25:10,27,11
2018-04-25:09,38,13
2018-04-25:08,26,12
2018-04-25:07,26,13
2018-04-25:06,33,14
2018-04-25:05,25,16
2018-04-25:04,44,15
2018-04-25:03,27,14
2018-04-25:02,38,14
2018-04-25:01,31,8
2018-04-24:24,28,5
2018-04-24:23,27,4
2018-04-24:22,16,3
2018-04-24:21,15,1
2018-04-24:20,16,0
2018-04-24:19,10,0
2018-04-24:18,13,2
2018-04-24:17,13,
2018-04-24:16,9,1
2018-04-24:15,9,1
2018-04-24:14,15,1
2018-04-24:13,10,1
2018-04-24:12,,
2018-04-24:11,,
2018-04-24:10,10,6
2018-04-24:09,6,
2018-04-24:08,18,18
2018-04-24:07,7,3
2018-04-24:06,10,2
2018-04-24:05,5,
2018-04-24:04,7,1
2018-04-24:03,5,1
2018-04-24:02,4,1
2018-04-24:01,11,1
2018-04-23:24,5,1
2018-04-23:23,6,5
2018-04-23:22,5,
2018-04-23:21,9,
2018-04-23:20,5,2
2018-04-23:19,7,1
2018-04-23:18,8,1
2018-04-23:17,12,2
2018-04-23:16,4,3
2018-04-23:15,6,4
2018-04-23:14,4,4
2018-04-23:13,7,4
2018-04-23:12,13,5
2018-04-23:11,9,8
2018-04-23:10,13,8
2018-04-23:09,14,8
2018-04-23:08,11,10
2018-04-23:07,25,12
2018-04-23:06,29,20
2018-04-23:05,29,
2018-04-23:04,29,
2018-04-23:03,46,27
2018-04-23:02,56,27
2018-04-23:01,54,26
2018-04-22:24,53,23
2018-04-22:23,46,18
2018-04-22:22,36,15
2018-04-22:21,30,17
2018-04-22:20,36,18
2018-04-22:19,40,14
2018-04-22:18,38,11
2018-04-22:17,27,10
2018-04-22:16,15,13
2018-04-22:15,27,17
2018-04-22:14,42,17
2018-04-22:13,44,18
2018-04-22:12,45,19
2018-04-22:11,51,19
2018-04-22:10,49,17
2018-04-22:09,42,17
2018-04-22:08,27,19
2018-04-22:07,34,22
2018-04-22:06,40,22
2018-04-22:05,35,22
2018-04-22:04,41,23
2018-04-22:03,47,22
2018-04-22:02,46,17
2018-04-22:01,53,9
2018-04-21:24,40,5
2018-04-21:23,36,7
2018-04-21:22,32,10
2018-04-21:21,37,14
2018-04-21:20,35,15
2018-04-21:19,50,8
2018-04-21:18,45,1
2018-04-21:17,44,1
2018-04-21:16,50,4
2018-04-21:15,56,11
2018-04-21:14,70,16
2018-04-21:13,69,17
2018-04-21:12,48,29
2018-04-21:11,61,41
2018-04-21:10,84,49
2018-04-21:09,125,56
2018-04-21:08,94,59
2018-04-21:07,100,61
2018-04-21:06,108,64
2018-04-21:05,110,69
2018-04-21:04,138,73
2018-04-21:03,147,76
2018-04-21:02,164,77
2018-04-21:01,143,78
2018-04-20:24,128,74
2018-04-20:23,126,69
2018-04-20:22,119,64
2018-04-20:21,129,57
2018-04-20:20,154,49
2018-04-20:19,133,44
2018-04-20:18,113,52
2018-04-20:17,122,58
2018-04-20:16,148,59
2018-04-20:15,141,57
2018-04-20:14,118,53
2018-04-20:13,124,45
2018-04-20:12,118,52
2018-04-20:11,86,59
